id,name,syllabicdivision,translated,primarymeaning,primaryexample,primaryreference
129,microcontroller,mi-cro-con-trol-ler,microcontrolador,Pequeno computador num único circuito integrado,"The Atmel 80C51 Microcontrollers implement two general purpose, 16-bit timers/counters.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
130,mobile,mo-bile,móvel,Que pode ser movido ou algo instável,"The walking stick connects directly to GSM (global system for mobile communication) networks [...] ","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
131,mode,mode,modo,Maneira de realizar algo,"The two operands allow six addressing mode combinations.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
132,Monitoring,mon-i-tor-ing,monitoramento,"","Monitoring, diagnostics and reporting","Philips HealthSuite Device Cloud"
133,motion,mo-tion,movimento,Mudança sucessiva de algo,"This 3D motion sensor pack tracks total body movement by six triangular sensors that can be placed anywhere on the body and visualise the user’s movement in real-time.","ttps://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
134,MRI-Magnetic Resonance Imaging,MRI-Mag-net-ic  Res-o-nance  Im-ag-ing,Imagem de ressonância magnética,Método de diagnóstico por imagem que não utiliza radiação e permite retratar imagens de alta definição dos órgãos do corpo,"In MRI, the ability to flexibly design pulse sequences, and thereby exploit a range of different physical properties [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
135,multimeter,mul-tim-e-ter,multimetro,Instrumento de provas que mede voltagens correntes e resistência,"Digital multimeter (DMM) accurate to three decimal places.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
136,multiprocessor,mul-ti-pro-ces-sor,multiprocessador,Computador no qual duas ou mais unidades centrais de processamento funcionam simultaneamente,"Clear to disable multiprocessor communication feature","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
137,networks,net-works,redes,Estabelecimneto de uma rede de contatos ou uma conexão com algo,"The walking stick connects directly to GSM (global system for mobile communication) networks and issues an alert to family members [...]","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
138,operation,op-er-a-tion,operação,Conjunto de meios que se combinam para obter-se um resultado,"If the operation is in response to an interrupt, not using the Accumulator saves the timeand effort to stack it in the service routine.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
139,operational,op-er-a-tion-al,operacional,Que influencia para que o resultado pretendido seja alcançado,"The effect of operational parameters [...]","https://pubs.acs.org/doi/pdf/10.1021/acs.est.8b04393"
140,oscillations,os-cil-la-tions,ocilações,Modificação ou alteração de um estado que se torna outro," It then enters a final chamber, which provides further damping of pressure oscillations.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
141,oscillator,os-cil-la-tor,ocilador,Aparelho que produz correntes elétricas oscilantes,"The oscillator, in any case, drives the internal clock generator.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
142,output,out-put,saída,Local para a conexão de cabo ou dispositivo para a transferência de dados,"The ventilator compensates by adjusting the piston/cylinder output","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
143,overhead,o-ver-head,sobrecarga,"","Enhancements targeting transmission of small data packets in inactive state to reduce the overhead from connection establishment.","5G wireless access: an overview"
144,oxidation,ox-i-da-tion,oxidação,Reação que provoca perda de elétrons e aumento da carga,"one-electron oxidation reactions preferentially lead to damage [...]","https://pubs.acs.org/doi/pdf/10.1021/acs.est.8b04393"
145,pack,pack,pacote,Conjunto de unidades incluídas num embrulho,"This 3D motion sensor pack tracks total body movement by six triangular sensors that can be placed anywhere on the body [...]","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
146,package,pack-age,pacote,Cápsula que envolve e agrupa alguma coisa com outra,"Follow the information contained on the replacement oxygen sensor's package [...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
147,pair,pair,par,Pôr lado a lado e equiparar,"The walking stick doesn’t need to be paired to any other device to be used. ","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
148,panel,pa-nel,painel,Mecanismo ou peça em que se encontram instalados os comandos de uma máquina,"Remove options panel plate","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
149,parameter,pa-ram-e-ter,parâmetro,Princípio através do qual é possível estabelecer uma comparação,"These fundamental kinetics parameters were in turn applied to predict the kinetics[...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
150,parameters,pa-ra-me-ters,parâmetros,"","New firmware can be rolled out based on numerous parameters, such as device type, location or device-specific properties.","Philips HealthSuite Device Cloud"
151,parity,pa-ri-ty,paridade,Comparação efetuada para provar que uma coisa pode ser igual ou semelhante a outra,"The parity bit reflects the number of 1’s in the Accumulator","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
152,pattern,pat-tern,padrão,Aquilo que serve para ser imitado como modelo,"The pattern of bits to be complemented is then determined by a mask byte, either a constant contained in the instruction or a variable computed in the Accumulator at run-time.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
153,payload,pay-load,carga útil,"","but is generic and can contain any kind of content (payload).","Philips HealthSuite Device Cloud"
154,PC - program counter,PC - pro-gram coun-ter,contador do programa,Registrador de uma Unidade Central de Processamento que indica qual é a posição atual na sequência de execução de um processo,"Whenever the program counter (PC) contains a number that is larger than the memory size.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
155,PCB - printed circuit board,PCB - printed-cir-cuit-board,placa de circuito ipresso,Placa formada por camadas de materiais plásticos e fibrosos,"Next it describes the electrical system, including the operations of the printed circuit boards (PCBs).","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
156,period,pe-ri-od,periodo, Intervalo de tempo constante que separa duas passagens sucessivas de uma grandeza variável,"However, port latches are in fact sampled by their output buffers only during Phase 1 of any clock period.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
157,peripheral,pe-riph-er-al,periférico,Que está na periferia e no contorno ou na parte exterior de algum centro,"The external input is sampled every peripheral cycle.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
158,PET - Photon Emission Tomography,PET - Pho-ton  E-mis-sion  To-mogra-phy,Tomografia por Emissão de Fótons,Técnica tomográfica de imagem médica da medicina nuclear que utiliza a radiação ionizante de raios gama,"Advances in acquisition technology such as multislice Computed Tomography (CT), digital Photon Emission Tomography (PET) [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
159,pin,pin,pino,Haste de metal que se introduz em orifícios de duas ou mais peças para as ligar,"The actual P3.X pin level is always available to the pin’s alternate input function, if any.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
160,piston,pis-ton,pistão,Peça movível pela pressão de um fluído,"The gas displaced by piston movement is vented through the air intake filter also.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
161,polarity,po-lar-i-ty,polaridade,Tipo de carga negativa ou positiva,"The polarity of the speaker wires is unimportant.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
162,pressure,pres-sure,pressão,Grandeza definida como força por unidade de área,"If the pressure is greater than 6 cmH2O, the test fails.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
163,previously,pre-vi-ous-ly,anteriormente,Que ocorre de maneira antecipada,"The data previously written to[...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
164,processor,pro-ces-sor,processador,Circuito que processa e executa os dados de um computador mediante instruções predeterminadas,"The Carry bit in the PSW is used as the single-bit Accumulator of the Boolean processor.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
165,products,prod-ucts,produtos,"","An increasing number of commercial products rely on medical image analysis techniques.","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
166,program,pro-gram,programa,Elaboração escrita do plano de atividades de um evento,"AJMP transfers program execution to the indicated address [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
167,programmable,pro-gram-ma-ble,progamável,Diz-se do aparelho que pode receber e armazenar instruções para cumprir tarefas determinadas,"The baud rate is programmable to either 1/32 or 1/64 the oscillator frequency.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
168,progress,pro-gress,progresso,Movimento para a frente,"The RETI instruction informs the processor that this interrupt routine is no longer in progress, then pops the top two bytes from the stack and reloads the Program Counter","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
169,protocols,pro-to-cols,protocolos,Atos oficiais ou regimes de requerimentos de execução de algo,"[..] with key steps depicted in Scheme 1 and detailed protocols provided in SI Text S3.","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
170,pulse,pul-se,pulso,Mudança passageira na amplitude de um sinal de um valor básico para um mais alto ou mais baixo,"Each pulse lasts three machine cycles.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
171,pump,pump,bomba,Aparelho destinado a sugar premir ou fazer circular fluidos," The PEEP pump, a vibrating-armature pump, generates PEEP/CPAP pilot pressure.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
172,purpose,pur-po-se,propósito,Aquilo que se tem intenção de realizar,"Ports 0 and 2 may not be used as general purpose I/O when being used as the ADDR/DATA BUS.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
173,pushes,pu-shes,Empurar,"","The instruction increments the PC twice to obtain the address of the following instruction, then pushes the 16-bit result onto the stack [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
174,queries,que-ries,consultas,"","It is expected that client devices will periodically send application level queries to servers to retrieve data.","ZigBee Smart Energy Standard Document"
175,range,range,alcance,Porção específica de alguma coisa,"If voltage is in range, replace pressure solenoid or controller PCB","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
176,rate,ra-te,taxa,Valor limitante estabelecido para algo,"Shows the calculated value of the total respiratory rate.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
177,reception,re-cep-tion,recepção,Ato ou efeito de receber,"Clear to disable serial reception.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
178,recognition,rec-og-ni-tion,recognição,Ato ou efeito de reconhecer e lembrar,"If desired, you may enable the automatic address recognition feature in mode 1","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
179,register,reg-is-ter,registrar,Dar propriedade ou nomear,"[...] but the stack itself is accessed by indirect addressing using the SP register.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
180,regulations,reg-u-la-tions,regulamentações,Instrução que prescreve o que se deve fazer,"Please take the time to become familiar with the following, as they cover safety considerations, special handling requirements, and regulations","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
181,regulator,reg-u-la-tor,regulações,Dispositivo que tem a função de fazer a manutenção ou ajuste de algo,"To prevent possible injury, do not remove the dust cap from the oxygen regulator access valve[...]","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
182,reliable,re-li-a-ble,confiável,Em que se consegue estar tranquilo sobre,"[...] more reliable and faster algorithms and dedicated algorithms for specific applications","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
183,reload,re-lo-ad,recarregar,Carregar novamente colocar nova carga,"[...]hold the reload value for this mode","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
184,remotely,re-mote-ly,remotamente,"","exchange messages between devices or remotely control their devices in an easy and secure way","Philips HealthSuite Device Cloud"
185,repair,re-pair,reparar,Pôr em bom estado de funcionamento o que se havia estragado,"The results of the EST run, the contents of the test and/or alert logs, and other service menu functions will help you determine what to repair.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
186,resistance,re-sist-ance,resistência,Opor forte resistência a algo,"Verify that resistance of PEEP pump is between 12 and 15 W measured when pump is at ambient temperature.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
187,restore,res-to-re,restaurar,Colocar em melhor estado fazendo reparos,"Its function is to restore a 1 to the pin in the event the pin had a 1 and lost it to a glitch.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
188,result,re-sult,resultado,Aquilo que resulta de alguma coisa,"On the other hand, if bit2 = 1 C now contains the complement of the correct result.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
189,retrieve,re-trieve,recuperar,"","It is expected that client devices will periodically send application level queries to servers to retrieve data","ZigBee Smart Energy Standard Document"
190,reveice,re-cei-ve,receber,Ato ou efeito de receber,"The Serial Data Buffer is actually two separate registers, a transmit buffer and a receive buffer register.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
191,rotation,ro-ta-tion,rotação,Movimento giratório de um corpo em torno de um eixo fixo,"For a right rotation, the LSB rolls into the MSB position.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
192,routers, rout-ers,roteadores,"", "All routers in the network shall be able to identify when the trust center is no longer accessible in the network.","ZigBee Smart Energy Standard Document"
193,safety,safe-ty,seguro,Situação do que está seguro e certo,"It includes a safety valve to vent excessive pressure.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
194,save,sa-ve,salvar,Reservar alguma coisa para uso posterior,"The hardware-generated LCALL pushes the contents of the Program Counter onto the stack (but it does not save the PSW) [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
195,scratch,s-cra-tch,scratch,Conjunto cujos componentes dependem uns dos outros,"For other instructions it can be treated as another scratch pad register.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
196,sensing,sens-ing,sensoriamento,Procedimento através do qual as condições são detectadas,"Verify pressure sensing tubes are not leaking.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
197,sensor,sen-sor,sensor,Aparelhos detectores e medidores de sensibilidade,"This 3D motion sensor pack tracks total body movement [...] ","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
198,sequence,se-quence,sequência,Continuação de algo que se iniciou,"If the Accumulator equals 04H when starting this sequence, execution jumps to label LABEL2.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
199,service,serv-ice,serviço,Desempenho de funções obrigatórias,"RETI is used to return from an interrupt service routine.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
200,servicing,serv-ic-ing,manutenção,Conjunto de ações que ajudam no bom e correto funcionamento de algo,"It is intended for use by certified biomedical engineering technicians or personnel with equivalent experience and training in servicing this type of equipment.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
201,shift,shift,mudança,Alteração ou modificação do estado normal de algo,"In shift operations, dividing a number by 2n shifts its n bits to the right.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
202,signal,sig-nal,sinal,Marca deixada em razão da presença e detecção de algo ,"The level of the port pin itself is placed on the internal bus in response to a “read pin” signal from the CPU.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
203,simulation,sim-u-la-tion,simulação,Ação ou efeito de simular e testar,"Increasingly, anatomical models are being combined with simulation approaches [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
204,slave,sla-ve,escvravo,Algo submetido à vontade de outro e privado de sua liberdade,"The addressed slave will clear its SM2 bit and prepare to receive the data bytes that will be coming.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
205,smart,smart,inteligente,Característica atribuída a tecnologias com grande autonomia e funcionalidades,"This ‘smart pillow’ records your natural sleep movements and can also wake you up at the ideal moment in your sleep cycle.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
206,solenoid,so-len-oid,solenóide,Dispositivo eletromecânico usado para controlar o fluxo de líquido ou gás," Check for proper installation of oxygen regulator pressure transducer and connection of sensor to pressure solenoid PCB.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
207,source,source,fonte,Equipamento ou recurso usado para alimentar cargas elétricas,"Make sure oxygen source pressure is between 40 and 90 psi (275 to 620 kPa).","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
208,space,space,espaço,Extensão indefinida,"Note that any byte in the internal Data Memory space can be incremented [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
209,speaker,speak-er,alto falante,Aparelho capaz de transformar em onda acústica um sinal de audiofrequência,"The piezo alarm serves as a backup for the speaker.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
210,stack,stack,Pilha,"","the Stack Pointer equal to the value 09H. Program execution continues at location 0123H.","Atmel 8051 Microcontrollers Hardware Manual"
211,standard,stand-ard,padrão,Aquilo que serve para ser imitado como modelo,"Adapters may be used to connect Bennett barbed cuff fittings to ISO standard cone and socket fittings.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
212,standardized, stan-dard-ized,padronizado,"","Reduce time-to-market: choose from a catalogue of standardized and ready-to-use services","Philips HealthSuite Device Cloud"
213,state,state,estado,Circunstância atual em que algo se encontra,"Under these conditions the Timer is being incremented every state time [...]","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
214,supply,sup-ply,energia,Abastecimento de cargas elétricas,"It is recommended that the 700 Series Ventilator System be powered from an uninterruptible power supply or a battery.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
215,switches,swit-ches,interruptores,Dsispositivo destinados a abrir ou fechar um circuito elétrico,"[...] disconnecting the power source and turning off all ventilator power switches.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
216,synchronous,syn-ch-ro-nous,sincronia,Que ocorre ao mesmo tempo que outra coisa,"It provides both synchronous and asynchronous communication modes.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
217,system,sys-tem,sistema,Aquilo que está ligado de modo a fazer com que alguma coisa funcione,"Therefore, manufacturers of medical imaging systems also provide software [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
218,tachometer,ta-chom-e-ter,tachometer,Aparelho para medir velocidades permanentemente,"The tachometer circuit measures the piston velocity","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
219,target,tar-get,alvo,Objetivo a que se dirige algum intento,"The 266 and 832 bp amplicons target the blt gene [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
220,techniques,tech-niques,técnicas,Habilidade própria para realizar algo,"Multi-atlas segmentation techniques are today a very widespread approach","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
221,technology,tech-nol-o-gy,tecnoologia,Procedimento ou grupo de métodos que se organiza num domínio específico,"Institute of Science and Technology [...]","https://pubs.acs.org/doi/pdf/10.1021/acs.est.8b04393"
222,terminals,ter-mi-nals,terminais,Conexão elétrica que consiste de um fio que sai de um dispositivo,"When installing the speaker, orient the terminals to the left.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
223,test,test,teste,Procedimento que visa verificar o funcionamento de algo,"If the accuracies of your institution’s test equipment differ from those listed, please make applicable allowances.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
224,thermistor,ther-mis-tor,termistor,Semicondutores sensíveis à temperatura,"Thermistors are easy to use, inexpensive, sturdy, and respond predictably to changes in temperature.","https://www.teamwavelength.com/thermistor-basics/"
225,transducer,trans-duc-er,transdutor,Dispositivo utilizado em conversão de energia de uma natureza para outra,"The oxygen regulator assembly does not include the oxygen regulator pressure transducer.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
226,transition,tran-si-tion,transition,Processo de mudança de um estado para outro,"This is done to increase the transition speed.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
227,trasmission,trans-mis-sion,transmissão,Transferência de dados físicos num fluxo de bits digital ou um sinal analógico digitalizado ao longo de um canal de comunicação,"Transmission is initiated by any instruction that uses SBUF as a destination register.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
228,troubleshooting,trou-ble-shoot-ing,Resolução de impasses,"","The logs also contain other information that can be useful when troubleshooting the ventilator.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
229,tube,tu-be,tubo,Canal cilíndrico reto ou curvo pelo qual passam fluidos líquidos ," Pressure solenoid PCB tube connectors","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
230,ultrasound,ul-tra-sound,ultrasônico,Vibração da mesma natureza que o som mas de frequência elevada,"Advances in acquisition technology such as multislice Computed Tomography (CT), digital Photon Emission Tomography (PET), parallel Magnetic Resonance Imaging (MRI) or Ultrasound (US) [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
231,ultraviolet,ul-tra-vi-o-let,ultravioleta,Radiação invisível que no espectro solar se situa além do violeta,"[...] including free available chlorine (FAC),19 monochloramine (NH2Cl),20,21 chlorine dioxide (ClO2),22 ozone (O3),23,24 ultraviolet (UV) light [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
232,unchanged,um-changed,inalterado,"","the P2 SFR remains unchanged","Atmel 8051 Microcontrollers Hardware Manual"
233,updated,up-dat-ed,atualizado,"","The trust center should send out an updated copy of the network key encrypted with the corresponding link key.","ZigBee Smart Energy Standard Document"
234,value,val-ue,valor,Indicação numérica que corresponde ao resultado de um número,"Adjusts the value of a setting or selects a menu option.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
235,valve,valve,valvula,Dispositivos mecânicos que abrem e fecham para controlar o fluxo de fluidos em tubulações e recipientes,"It also provides a vent for the safety valve.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
236,variable,var-i-a-ble,variável,Medida ou quantidade que se altera em cada caso,"The byte variable indicated by the second operand is copied into the location specified by the first operand.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
237,vector,vec-tor,vetor,Segmento de reta orientado com direção sentido e módulo,"Set to cause the CPU to vector to timer 2 interrupt routine when timer 2 interrupt is enabled","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
238,ventilator,ven-ti-la-tor,ventilador,Equipamento médico responsável por realizar a troca gasosa de todo o corpo,"This manual is intended to provide information needed to service the Puritan Bennett™ 700 Series Ventilator System.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
239,voltage,vol-tage,voltagem,Potencial de uma corrente elétrica fundamental para o fazer com que um aparelho elétrico funcione,"If the CPU then reads the same port bit at the pin rather than the latch, it will read the base voltage of the transistor [...]","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
240,washers,washers,arruelas,Anel ou aro de ferro que se coloca no parafuso para que a porca não desgaste a peça,"Remove the internal battery compartment access plate by removing four screws with captive washers.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
241,wavelength,wave-length,Comprimento de onda,Distância entre dois pontos de uma onda que se apresentam na mesma fase de dois pulsos sucessivos,"[...] were irradiated with near-UV wavelengths (290?400 nm) to enable photolysis of H2O2 [...]","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
242,wireless,wire-less,sem fio,"","The capabilities of 5G wireless access extend far beyond previous generations of mobile communications.","5G wireless access: an overview"
243,x-ray,x-ray,raio-x,Radiação imperceptível à visão humana de natureza eletromagnética,"The X-ray images show the reconstructed femur immediately after surgery [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
